,asin,category,color,description,name
10,B0041IXMS4,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Shoes
            


             ›
         


                Athletic
            


             ›
         


                 Ballet & Dance","[<span class=""selection"">White</span>]","Non-Leather
							
						
 
							Rubber sole
							
						
 
							Heel measures approximately 1/4""
							
						
 
							Dri-lex lining is non-wrinkling breathable and odor/mildew resistant
							
						
 
							Non-marking split sole",Bloch Dance Women's Amalgam Canvas and Mesh Split Sole Jazz Sneaker
11,B00EK94MS8,unknown category,unknown color,unknown details,unknown product name
12,B00023K6CW,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Jewelry
            


             ›
         


                Necklaces
            


             ›
         


                 Chains",[],"Made in Italy of Nickel Free Sterling Silver
							
						
 
							16"" Long and 1.1mm Wide
							
						
 
							Weight is Approximately 3.7 Grams
							
						
 
							Closes with a Lobster Clasp
							
						
 
							Marked 925 and Italy","1mm Nickel Free Sterling Silver Italian Snake Chain Necklace(Lengths 14"",16"",18"",20"",22"",24"",30"",36"")"
13,B006786SRS,"Arts, Crafts & Sewing
            


             ›
         


                Beading & Jewelry Making
            


             ›
         


                 Beads & Bead Assortments",[],"beautiful Black wood mala stretch bracelet with added two tiger eye stones
							
						
 
							engraved with three chinese characters of ""Ping An Fu"" meaning peace and tranquility
							
						
 
							bracelet size is 8"" can be wear for wrist smaller or bigger
							
						
 
							strung together with jewelry elastic cord for flexibility",10MM Luos Tibetan Buddhist Prayer Mala Black Wood Bracelet Ping An Fu- W013
14,B008NQNM4O,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Shoes
            


             ›
         


                Sandals
            


             ›
         


                 Platforms & Wedges",[],"Synthetic
							
						
 
							Built-in podiatrist-designed and tested orthotic arch support. Restores the foot's natural / neutral alignment which enables the feet- ankles- and legs to function dynamically as they were intended.
							
						
 
							Orthaheel Yasmin 2 is a Medium Width - B sandal.
							
						
 
							Tri-planar Motion Control system for essential support and stability.
							
						
 
							Flexible and lightweight construction. The improved Yasmin has new colors and improved quality.
							
						
 
							Great for people who have plantar fasciitis or over-pronation. Research supports Orthaheels success in reducing over-pronation- which can help relieve associated conditions such as heel and ankle pain.",Vionic Womens Yasmin II Slide w/Strap
15,B008SCLAW4,unknown category,unknown color,unknown details,unknown product name
16,B008INYYTY,unknown category,unknown color,unknown details,unknown product name
17,B0030RBFK4,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                 Handbags & Wallets","[<span class=""selection"">Cafã</span>]","Full Grain Leather
							
						
 
							10"" shoulder drop
							
						
 
							Front slip pocket
							
						
 
							Two side slip pockets
							
						
 
							Cell phone holder
							
						
 
							Pda holder
							
						
 
							Magnetic closure",Le Donne Leather Slip Pocket Tote
18,B007WZJYTY,unknown category,unknown color,unknown details,unknown product name
19,B008OQV632,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Shoes
            


             ›
         


                Sandals
            


             ›
         


                 Platforms & Wedges",[],"100% Synthetic
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							Heel measures approximately 3""
							
						
 
							Platform measures approximately 1""
							
						
 
							Crocs Manufactures only Medium Widths.""W"" represents Women & not Wide.",Crocs Women's A-Leigh Linen Slingback Wedge
20,B006D8SSOS,unknown category,unknown color,unknown details,unknown product name
21,B007NYUVIM,unknown category,unknown color,unknown details,unknown product name
22,B000XPIX74,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Shoes
            


             ›
         


                Sandals
            


             ›
         


                 Flip-Flops",[],"Rubber
							
						
 
							Importado
							
						
 
							Rubber sole
							
						
 
							Brazil size 35/36 fits US Women's size 5/6, Brazil size 37/38 fits US Women's size 7/8, Brazil size 39/40 fits US Women's 9/10, Brazil size 41/42 fits US Women's 11/12.
							
						
 
							US size stamp on shoe is based on Men's shoe size",Havaianas Women's Slim Animals Sandal
23,B001GNUHEO,"Clothing, Shoes & Jewelry
            


             ›
         


                Shoe, Jewelry & Watch Accessories
            


             ›
         


                Jewelry Accessories
            


             ›
         


                 Jewelry Boxes & Organizers",[],"This fits your .
    


 Make sure this fits
by entering your model number.



    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })

 
							Metal with a black painted finish
							
						
 
							Measures 13 1/2"" H x 10"" W x 4 3/4"" D
							
						
 
							18 hooks for necklaces of all sizes
							
						
 
							Sturdy, durable construction
							
						
 
							What a great, space saving idea !",Black Metal Necklace Holder
24,B00EJRG2QQ,"Clothing, Shoes & Jewelry
            


             ›
         


                Girls
            


             ›
         


                Jewelry
            


             ›
         


                Earrings
            


             ›
         


                 Ball","[<span class=""selection"">Silver</span>]","HIGH QUALITY STAINLESS STEEL – These ball stud earrings are made of high polished durable nickel free and anti-allergic stainless steel. Our premium quality round bead ball stainless steel stud earrings are stain, rust and tarnish resistant, durable, and hypoallergenic, suitable for your sensitive ears.
							
						
 
							5 PAIR SET – This fashion earrings set displays 5 Pairs of 2mm, 3mm, 4mm, 5mm & 6mm polished bead ball stud earrings. They will fasten with butterfly backs that designed to fit comfortably and securely. The back pin for all 5 pairs of earrings is 10mm. It’s perfect for those who have multiple piercing, you can wear more than one size/set at a time. Simple, yet elegant and classy it will be a perfect addition to your jewelry collection.
							
						
 
							CLASSIC BALL STUD EARRINGS – Featuring the classic design of a round ball, our stud earrings for women, men and teens will be an Absolutely Everyday Essential. These stainless steel ball earrings are perfect for different body parts, such as ear lobe, helix, tragus, cartilage. Our jewelry set will easily match with different styles of clothes and its suitable for any occasions!
							
						
 
							FIVE FASHIONABLE COLORS – Our ball studs are available in various sets of colors such as Silver, Yellow Gold, Rose Gold, Black and Blue tones. Choose your perfect color and enjoy bright & shiny addition to your wardrobe! Purchase them as unisex earrings, earrings for men, earrings for women, earrings for adults, earrings for teen girls.
							
						
 
							FREE JEWELRY GIFT POUCH – Each order from Silverline Jewelry comes with a Free Jewelry Gift Pouch! It’s a perfect gift for any occasion and holiday such as Christmas, Birthday, Mother’s Day, Father’s Day, Valentine’s Day, anniversary, prom or graduation. It’s a wonderful gift for Your Mom, Dad, Brother, Sister, Girlfriend, Boyfriend etc.","5 Pair Set Stainless Steel Round Ball Stud Earrings for Women Men & Teens, Assorted Colors"
25,B000W11C6I,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Big & Tall
            


             ›
         


                Shirts
            


             ›
         


                Button-Down Shirts
            


             ›
         


                 Dress Shirts","[<span class=""selection"">Greystone</span>]","Machine wash warm gentle cycle, tumble dry permanet press
							
						
 
							65% Polyester, 35% Cotton.
							
						
 
							Three-inch point spread collar
							
						
 
							A double-cut cuff offers a distinctive touch",Van Heusen Men's Tall Wrinkle Free Poplin Long Sleeve Shirt
26,B005QNUHA4,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Shoes
            


             ›
         


                Athletic
            


             ›
         


                Running
            


             ›
         


                 Trail Running","[<span class=""selection"">Grey/Black</span>]","100% Synthetic/Fabric
							
						
 
							Vibram sole
							
						
 
							Shaft measures approximately 7"" from arch
							
						
 
							Lace-up trail runner featuring breathable mesh upper with logoed sides and easy-on tab at counter
							
						
 
							Odor-resistant lining
							
						
 
							Deconstructed ACTEVA midsole
							
						
 
							Durable Vibram outsole
							
						
 
							Heel-to-toe drop: 4 mm",New Balance Women's WT20BG2 Minimus Trail Running Shoe
27,B00ANNGWRY,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Accessories
            


             ›
         


                Wallets, Card Cases & Money Organizers
            


             ›
         


                 Wallets","[<span class=""selection"">Black</span>]","leather-and-synthetic
							
						
 
							Faux Leather and Snap Closure
							
						
 
							7.28""L x 3.54""W x 1.38""H
							
						
 
							8 card slots and 1 ID window
							
						
 
							5 full length compartments,2 interior compartment with additional snap closure
							
						
 
							A zippered pocket inside",Damara Women Long Faux Leather Bifold Large Bow Design Wallet Handbag
28,B005FN0LZQ,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Watches
            


             ›
         


                 Wrist Watches",[],"Swiss Quartz Movement
							
						
 
							Flame-Fusion Crystal; Brushed and Polished Gold Ion-Plated Stainless Steel Case; Grey Polyurethane Strap
							
						
 
							Gold Tone Second Hand
							
						
 
							White Dial with Gold Tone Hands and Arabic Numerals; Grey Unidirectional Bezel
							
						
 
							Not Water Resistant",Invicta Women's 1616 Angel Collection Rubber Watch
29,B00EP6T15A,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Jewelry
            


             ›
         


                 Bracelets",[],"Material:Alloy+PU leather; Condition:100% Brand new
							
						
 
							Adjustable drawstring fit most 1Weight:11g
							
						
 
							Unique feather bead with cool comfortble fashion style
							
						
 
							Great for both daily and festive occasions","niceeshop(TM Cross Friendship Bead PU Leather Bracelet Adjustable Size,Black"
