,asin,category,color,description,details,name,size,department,demographic,division,subcategory,type,detail_type
205,B000HGFK5C, Boots ,missing,"100% Leather Imported Leather sole Shaft measures approximately 6.5"" from arch Heel measures approximately 2"" Boot opening measures approximately 11"" around Retro-inspired dress boot in ankle-high silhouette featuring tonal stitching and overlays Instep zipper",missing,Giorgio Brutini Men's Pointed-Toe Dress Boot,missing,"Clothing, Shoes & Jewelry ", Men , Shoes ,Chelsea,,
206,B000HHM20M,,missing,"Most recognized penetrating, alcohol-based leather dye in the world For use on vegetable tanned or unfinished leather Will not peel, crack or rub-off when fully dry while remaining flexible Also works well when applied with a dry sponge or included wool dauber Use Fiebing's dye reducer to lighten tint and consistency",missing,Fiebing's Leather Dye,missing,"Arts, Crafts & Sewing ", Fabric Decorating ,Dyes,,,
207,B000HJ9H0I,Compression Socks,unavailable,"HIGH QUALITY - Looking for effective leg therapy in a high-quality, dress sock? Look no further. These knee high socks offer a fashionable ribbed design that delivers gradient compression therapy, all while looking like a men’s dress sock.                                    EXTREMELY DURABLE - Don’t purchase the same socks over and over. These firm socks come with a reinforced heel that resists shoe abrasion. They are also made with strong yarn that resists wear and tear so you can enjoy these closed toe socks for years to come.                                    ALL DAY COMFORT - No more socks that pinch and bind. JOBST for Men is equipped with an all day comfort band that keeps your socks up without pinching or binding. A smooth toe seam and bubble shape add extra comfort to these energizing stockings.                                    ODOR CONTROL - Keep your legs and feet cool and odor free. Microfibers wick away moisture six times faster than regular nylon for a dryer, cooler feeling. Our special formula fights odor by stopping the growth of fungi and bacteria on the socks.                                    COMPRESSION CLASS - Compression class: 15-20. These socks are for tired, heavy legs that have a tendency to swell. Suitable for patients with reticular veins.",missing,"JOBST for Men Knee High Closed Toe Compression Stockings, High Quality, Extra Firm Legware for All Day Comfort for Males, with Odor...",missing,Health & Household , Medical Supplies & Equipment ," Braces, Splints & Supports ",,,
208,B000HJXKDS," Tops, Tees & Blouses ",missing,100% Cotton Machine Wash Rouched details along shoulders Scoop neck with placket,missing,Lucky Brand Women's Bela Henley,missing,"Clothing, Shoes & Jewelry ", Women , Clothing ,T-Shirts,,
210,B000HKK26U, Accessories ,missing,"1.25"" high 5.5"" wide MYSTERIOUS AND GOTHIC: Complete any vampire look with these gothic vampire glasses by elope STAY OUT OF THE LIGHT: These glasses are tinted just right to wear day or night. No UV protection FOR TEENS AND ADULTS: Safety tested for ages 14+; Sized to fit most teens and adults FUN ALL YEAR ROUND: elope items are great for gifts, cosplay, costuming, every day fashion, or whimsical wear all year round. EXCELLENT QUALITY: Designed for you with love and laughter by the elope team in Colorado Springs, USA; Manufactured in China",missing,Gothic Sunglasses,missing,"Clothing, Shoes & Jewelry ", Costumes & Accessories , Women ,Eyewear,,
211,B000HKNAB4,Hunting,missing,"This fits your .     Make sure this fitsby entering your model number.    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Quality tested and ensured for maximum durability Designed with only the toughest, roughest users in mind Comfort and Performance come hand in hand with Rothco",missing,Blousing Garters,missing,Sports & Outdoors , Sports & Fitness , Hunting & Fishing ,,,
212,B000HKNVOA,Mules & Clogs,missing,"100% Leather Imported Synthetic sole Heel measures approximately 1.75"" Platform measures approximately 0.75"" Clog, 100 percent leather, removable insole, rubber outsole",missing,El Naturalista Women's N096 Clog,missing,"Clothing, Shoes & Jewelry ", Women , Shoes ,,,
214,B000HKXJ24," Lingerie, Sleep & Lounge ",unavailable,"Available in UK sized cups B though G Foam molded, seamless cups Removable, convertible straps 3X3 hook and eye back closur Material Content: 51% polyester, 33% polyurethane, 8% nylon, 6% cotton, 2% spandex",missing,Fantasie of England Smoothing Underwired Molded Strapless Bra Style 4530,missing,"Clothing, Shoes & Jewelry ", Women , Clothing , Lingerie , Bras ,Everyday Bras
215,B000HL3OWI, Accessories ,missing,"Imported English Birch Plywood Playing Surface :29"" x 29"" Board Size :37"" x 37"", Frame Size : 4"" x 2"" Plywood Thickness :24mm Includes carrom Coins & Striker",missing,Forum Novelties Inc - White Gangster Hat,missing,"Clothing, Shoes & Jewelry ", Costumes & Accessories , Men ,Headwear,,
216,B000HOIZOW, Underwear ,unavailable,"cotton undershirts closure Soft cotton knit Fine ribbing for sleek, shape-keeping fit Banded neck and armholes resist wear & tear Clean-finished, longer stay-tucked hem TAGLESS® A-shirt for a comfortable, no-itch neckline",missing,"Hanes Tank White 5pack, Large",missing,"Clothing, Shoes & Jewelry ", Men , Clothing ,Undershirts,,
218,B000HOSFD8, Underwear ,missing,"100% Cotton Imported Pull On closure Machine Wash These tag less shirts are made of soft, preshrunk 100 percent cotton They have a durable, double-ply neckband, roomy armholes and stay-tucked hems Convenient 5-pack",missing,Hanes Big Boys' Crew (Pack of 5),missing,"Clothing, Shoes & Jewelry ", Boys , Clothing ,Undershirts,,
223,B000HT6F5S,Pants,missing,"100% Polyester Imported 65% Polyester, 35% Rayon Double pleated, cuffed dress pant, easy care, waistband expands up to 3inches Hidden comfort waist, relaxed fit Machine washable Imported",missing,Savane Men's Select Edition Pleated Gaberdine Dress Pant,missing,"Clothing, Shoes & Jewelry ", Men , Clothing ,,,
224,B000HT6FC6, Pants ,missing,"65% Polyester, 35% Rayon Imported Machine Wash Pleat-front dress pant with hidden comfort waistband and slant pockets Zip closure with French fly Jetted button-through back pockets",missing,Savane Men's Big & Tall Select Edition Pleated Dress Pant,missing,"Clothing, Shoes & Jewelry ", Men , Clothing ,Dress,,
225,B000HTELV8,Jeans,missing,Fabric content varies by color. Please select color above to see fabric content. Machine Wash Slim fit Boot cut leg,missing,Levi's Women's Classic Bold Curve ID Boot Cut Jean,missing,"Clothing, Shoes & Jewelry ", Women , Clothing ,,,
226,B000HTEYAQ, Sandals ,unavailable,Authentic Havaianas! One of the most popular and versatile styles in the Havaianas collection. Vibrant colors,missing,"Havaianas Metallic Sandals (Various Colors), 6, Metallic Gold",missing,"Clothing, Shoes & Jewelry ", Women , Shoes ,Flip-Flops,,
227,B000HTIR9A, Pants ,missing,98% Cotton/2% Spandex Imported Machine Wash Super soft twill^Machine washable,missing,Dockers Women's Soft Tapered Pant,missing,"Clothing, Shoes & Jewelry ", Women , Clothing ,Casual,,
228,B000HTRQ88,Jeans,missing,"93% CTN/4% POLY/2% PTHL/1% ELAS Machine Wash Slim-fit jean with classic five-pocket styling Zip fly with button 12.5-inch leg opening, 7.5-inch front rise, 32-inch inseam",missing,Levi's Juniors' 524 Straight-Leg Jean,missing,"Clothing, Shoes & Jewelry ", Women , Clothing ,,,
229,B000HTVURQ, Athletic ,missing,"100% Nylon and Suede Imported Rubber sole Original retro runner sneaker featuring wavy logo overlays each with tonal stitched ""S"" Padded tongue and collar Tri-layered platform midsole",missing,Saucony Originals Women's Jazz Sneaker,missing,"Clothing, Shoes & Jewelry ", Women , Shoes , Running ,Road Running,
230,B000HTZZQI,Fashion Sneakers,missing,"Nylon^Suede Imported Rubber sole Nylon & Suede upper Lace-up front, padded collar and tongue Textile lining and cushioned insole Shock-absorbing low profile EVA midsole XT-600 triangular lug rubber outsole",missing,Saucony Originals Men's Jazz Low Pro Classic Sneaker,missing,"Clothing, Shoes & Jewelry ", Men , Shoes ,,,
231,B000HU41US,Wedding Rings,missing,"This 5mm Plain Domed Tungsten Wedding Ring For Men and Women is availabe in Sizes 5 to 14 including half sizes Our Formulation of Tungsten 900 tm gives you a better balanced Scratch resistance and brittleness in Tungsten Rings Our Tungsten Wedding Rings are Rounded and Polished Smooth inside for True Comfort Fit with very accurate sizing, large Variety of sizes including half sizes Excellent Quality Workmanship Scratch Resistant Tungsten Ring with High Polish and Attractive Design Hypoallergenic",missing,"Sabrina Silver Tungsten Carbide 5mm Comfort Fit Domed Wedding Band Ring for Him & Her Mirror Polished Finish, sizes 5 to 15",missing,"Clothing, Shoes & Jewelry ", Men , Jewelry ,,,
232,B000HUC286,Wedding Rings,missing,"This 8mm Plain Domed Tungsten Wedding Ring For Men and Women is availabe in Sizes 5 to 14 including half sizes Our Formulation of Tungsten 900 tm gives you a better balanced Scratch resistance and brittleness in Tungsten Rings Our Tungsten Wedding Rings are Rounded and Polished Smooth inside for True Comfort Fit with very accurate sizing, large Variety of sizes including half sizes Excellent Quality Workmanship Scratch Resistant Tungsten Ring with High Polish and Attractive Design Hypoallergenic",missing,"Sabrina Silver Tungsten Carbide 8 mm Comfort Fit Domed Wedding Band Ring for Him & Her Mirror Polished Finish, sizes 5 to 14",missing,"Clothing, Shoes & Jewelry ", Men , Jewelry ,,,
233,B000HV1LFU, Shoes ,missing,100% Leather/Synthetic Imported Rubber sole Waterproof leather and nylon upper EVA midsole Slip resistant rubber outsole Cement construction,missing,Bates Men's GX-8 8 Inch Ultra-Lites GTX Waterproof Boot,missing,"Clothing, Shoes & Jewelry ", Men ," Uniforms, Work & Safety ",Military & Tactical,,
234,B000HV983C, Athletic ,missing,"100% Mesh and suede Imported Synthetic sole Heel measures approximately 1 1/4"" Platform measures approximately 3/4"" Split, non-marking outsole sneaker made on a high arch last with lightweight high performance materials Built in arch support and elevation to accentuate the arch",missing,Bloch Dance Women's Boost DRT Suede and Mesh Split Sole Dance Sneaker,missing,"Clothing, Shoes & Jewelry ", Women , Shoes ,Ballet & Dance,,
235,B000HVRK6E, Socks & Hosiery ,missing,"Leg: 85% Nylon, 15% Spandex Silicone On Band tights closure Hand Wash Silky core leg Beautiful, feminine real lace for a little luxury Style number 0a444",missing,Hanes Silk Reflections Women's Lace Top Thigh High,missing,"Clothing, Shoes & Jewelry ", Women , Clothing ,Sheers,,
236,B000HVWO6A,Leggings,missing,"Cotton,Spandex Imported Hook & Eye closure Machine wash cold with like colors, non chlorine bleach, tumble dry Casual pull-on legging with comfortable stretch Features heiq smart temp technology to help maintain an optimal temperature No pockets for a smooth, flawless look",missing,HUE Women's Temp Control Cotton Leggings,missing,"Clothing, Shoes & Jewelry ", Women , Clothing ,,,
237,B000HX7F08,Cabinets & Cases,missing,"Watch Case for 10 Watches Leather Brown Lock & Key Watch Organizes, Complements any Desk, Dresser and any type of Home Décor -Includes Complementary Microfiber Polishing Cloth Interior Lined with Beige Colored Suede and Lined Pocket in Lid Watch Compartments Fit Mens or Ladies Watches (Fits Watch Cases Up To 45mm) Watch Valet Dimension: 9.75"" L x 8"" W x 3""H Watch Compartment Size: 3 3/4"" L x 1 3/4"" W x 2""H",missing,Watch Box Storage Case Leather for 10 Watches with Lined Pocket,missing,"Clothing, Shoes & Jewelry "," Shoe, Jewelry & Watch Accessories ", Watch Accessories ,,,
238,B000HZEVU8,Oxfords,missing,"100% Manmade Imported Synthetic sole Heel measures approximately 1"" Gel heel pod Molded arch support Polished in character and appearance, the finely stitched details and modern square toe give this sleek oxford a crisp finish.",missing,Kenneth Cole REACTION Men's Sim-Plicity Oxford,missing,"Clothing, Shoes & Jewelry ", Men , Shoes ,,,
239,B000HZTW66, Outdoor ,missing,"100% Waterproof Nubuck Leather Made in the USA and Imported Rubber sole Shaft measures approximately 4"" from arch Platform measures approximately 0.75 Boot opening measures approximately 12.5"" around Low-profile upper with ghillie lacing for comfort and secure fit,This style is running a 1/2 size small. We suggest ordering a 1/2 size larger than your usual size",missing,KEEN Men's Targhee II Mid Waterproof Hiking Boot,missing,"Clothing, Shoes & Jewelry ", Men , Shoes , Hiking & Trekking ,Hiking Boots,
240,B000HZZWX8,Shoulder Bags,missing,"zipper closure Shoulder length strap Full length top zipper Contrasting fabrics 18"" W x 15"" H x 5.5"" D 600 Denier Poly Oxford Nylon with PVC backing",missing,Shoulder Tote Bag with Zipper,missing,"Clothing, Shoes & Jewelry ", Women , Handbags & Wallets ,,,
241,B000I031ZS,,missing,"Open front pocket Measures: 19"" W x 12"" H x 4-1/2"" D 22 inch handle length",missing,Daily Tote with Shoulder Length Handles and Outside Pocket,missing,"Clothing, Shoes & Jewelry ", Luggage & Travel Gear ,Luggage,,,
245,B000I1YQF6,Slippers,missing,"100% Fabric Imported Synthetic sole Heel measures approximately 1"" Platform measures approximately 1/2 Hard-sole slipper featuring soft, plush upper with textured trim and hook-and-loop strap",missing,Foamtreads Women's Jewel Slipper,missing,"Clothing, Shoes & Jewelry ", Women , Shoes ,,,
246,B000I2G680, Underwear ,missing,Cotton^Jersey Imported Tumble dry An essential piece to your quality wardrobe.,missing,Polo Ralph Lauren Men's Classic Crew Neck Undershirts 3-Pack,missing,"Clothing, Shoes & Jewelry ", Men , Clothing ,Undershirts,,
247,B000I2HQFW, Underwear ,missing,Cotton^Jersey Imported Tumble dry An essential piece to your quality wardrobe.,missing,Polo Ralph Lauren Men's Classic V-Neck Undershirts 3-Pack,missing,"Clothing, Shoes & Jewelry ", Men , Clothing ,Undershirts,,
248,B000I3L4HW,Footwear,missing,"100% Synthetic Synthetic sole Heel measures approximately 2 3/4"" Textile Heel: 3"" Platform:0"" Tpr sole",missing,Funtasma Women's Gogo-50,missing,"Clothing, Shoes & Jewelry ", Costumes & Accessories , Women ,,,
249,B000I3WXV8,Fashion Sneakers,missing,"100% Combination Waterproof Nubuck, Full Grain Leather Made in the USA and Imported Rubber sole Shaft measures approximately low-top from arch Classic oxford lace design Please note: The color called Black Olive is actually brown KEEN adds their distinctive stamp to this handsome and adventurous casual shoe Waterproof leather upper",missing,KEEN Men's Austin Shoe,missing,"Clothing, Shoes & Jewelry ", Men , Shoes ,,,
250,B000I4LNP4,Fashion Sneakers,missing,100% Nylon/suede upper Imported Rubber sole Retro-inspired sneaker with soft mesh upper featuring comfort-contoured EVA midsole,missing,Saucony Originals Men's Jazz Sneaker,missing,"Clothing, Shoes & Jewelry ", Men , Shoes ,,,
251,B000I4N9F6, Athletic ,missing,100% Leather and synthetic Imported Rubber sole Shaft measures approximately low-top from arch Compression molded EVA misole with a higher durometer to slow the rate of pronation Engineered Asymmetrical Sole for a bio-mechanical fit Walk Trac patented outsole design for a smooth transition Offset - 12mm.Forefoot Stack Height 17mm,missing,Saucony Men's Grid Omni Walker Walking Shoe,missing,"Clothing, Shoes & Jewelry ", Men , Shoes ,Walking,,
252,B000I4NA3W, Athletic ,missing,"100% Leather and Textile Imported Rubber sole Walking sneaker featuring lace-up vamp, mesh tongue, and logo applique at sides Engineered asymmetrical sole for bio-mechanical fit Walk Trac patented outsole design for smooth transition Visible rearfoot grid system for cushioning and stability",missing,Saucony Women's Grid Omni Walker Sneaker,missing,"Clothing, Shoes & Jewelry ", Women , Shoes ,Walking,,
253,B000I5CC2G, Inserts & Insoles ,missing,"NA Made in USA Keep everything in place while you strut your stuff with the Heavenly Heelz 3-Pack. Set of three pairs included. Intended for use on the back-of-the-heel of your shoes. Helps keep heels from slipping in and out of shoes. Multifunctional enough to be used on the inside top of a mule, boot or slide for added comfort. Try them with your hosiery to stop runs and prevent slipping and sliding. Made from PORON® performance urethanes which help stop friction, prevent blister and calluses from forming, protect bones and tissue, and provide overall comfort. Made in the U.S.A. and Imported. Measurements: Weight: 0.4 oz",missing,Foot Petals Women's Heavenly Heelz Combo Pack,missing,Health & Household , Health Care , Foot Health ,Heel Cushions & Cups,,
254,B000I5KL4C, Jewelry Boxes & Organizers ,unavailable,"This fits your .     Make sure this fitsby entering your model number.    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Plays ""Swan Lake"" when opened Made of sturdy fiberboard Measures approx 6"" across Recommended for ages 8 and up Features goldtone latch, plush interior, mirrored lid and twirling ballerina",missing,Schylling - Pink Jewel Jewelry Box,missing,"Clothing, Shoes & Jewelry "," Shoe, Jewelry & Watch Accessories ", Jewelry Accessories ,Jewelry Boxes,,
255,B000I5NRWU, Shirts ,missing,100% Cotton 100% cotton poplin fabric. Matched pocket. Coconut buttons. Made in Hawaii.,missing,Pacific Legend Parrots Hawaiian Shirt,missing,"Clothing, Shoes & Jewelry ", Men , Clothing ,Casual Button-Down Shirts,,
